#BRIN;NAAM_INSTELLING;RAPPORTAGE_MAAND;BSN_ONDERWIJSNR;VOORNAMEN;VOORVOEGSEL;ACHTERNAAM;WOONGEMEENTE;GEBOORTEDATUM;ILT/CREBO;ILT/CREBO_OMS;LEERWEG;BRIN_NR;NAAM_INST;ONDERWIJSAANBIEDERCODE;ONDERWIJSAANBIEDER_NAAM;GEMCODE;RMC_REGIO;LOCATIECODE;ONDERWIJSLOCATIECODE;ONDERWIJSLOCATIE_POSTCODE;ONDERWIJSLOCATIE_HUISNUMMER;BRIN_VOLGNR;NIVEAU;INSCHR_VLGNR;STRAAT;HUISNUMMER;HUISLETTER;HUISNR_AAND;HUISNR_TOEV;ADRES_LOCATIE;POSTCODE;WOONPLAATS;INDICATIE_STARTKWALIFICATIE
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456789;AA;;AA;DUIVEN;5/10/04;25615;Sociaal werker;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A354;"Zorg; Welzijn & Sport";226;REGIO 41;;101X328;7006GJ;3;;Mbo4 opleidingen;2;AA;1;;;;;3333CC;DUIVEN;J
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456780;BB;van;BB;ZEVENAAR;3/11/06;5321;Vavo Havo Zonder Profiel;;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A355;Educatie & Participatie;299;REGIO 41;;101X361;7001HG;2;;HAVO/VWO bovenbouw;A3;BB;2;;;;;4444DD;ZEVENAAR;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456771;CC;;CC;DOETINCHEM;1/26/06;25958;Sociaal werker;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A354;"Zorg; Welzijn & Sport";222;REGIO 13;;101X328;7006GJ;3;;Mbo4 opleidingen;1;CC;3;A;;;;XXXX25;GAANDEREN;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456762;DD;van;DD;ALMERE;2/21/03;27011;Eerste monteur laagspanningsdistributie;BBL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A352;Techniek & Informatica;34;REGIO 18;;102X690;7061GA;12;;Mbo3 opleidingen;1;DD;3;;;;;XXXX26;ALMERE;J
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456753;EE;van;EE;WINTERSWIJK;10/14/05;25414;"Co̦rdinator sportinstructie; training en coaching";BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A354;"Zorg; Welzijn & Sport";294;REGIO 13;;101X328;7006GJ;3;;Mbo4 opleidingen;1;EE;4;;;;;XXXX27;WINTERSWIJK;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456744;FF;van;FF;DOETINCHEM;6/8/06;25876;E-commerce specialist;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A689;Economie & Dienstverlening;222;REGIO 13;;100X927;7001EA;49;;Mbo4 opleidingen;1;FF;5;;;;;0000AA;DOETINCHEM;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456735;GG;;GG;MONTFERLAND;7/8/05;23366;Sport en Bewegen;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A354;"Zorg; Welzijn & Sport";1955;REGIO 13;;101X328;7006GJ;3;;Mbo4 opleidingen;2;GG;5;;;;;XXXX28;'S-HEERENBERG;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456726;HH;;HH;DOETINCHEM;1/6/05;25607;Medewerker ICT support;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A352;Techniek & Informatica;222;REGIO 13;;100X927;7001EA;49;;Mbo2 opleidingen;1;HH;6;;;;;0000AA;DOETINCHEM;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456717;II;van;II;OUDE IJSSELSTREEK;10/26/05;25180;Kok;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A689;Economie & Dienstverlening;1509;REGIO 13;;101X350;7008CA;3;;Mbo2 opleidingen;2;II;7;;;;;XXXX29;ULFT;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456708;JJ;van;JJ;DOETINCHEM;6/9/06;25180;Kok;EX;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A689;Economie & Dienstverlening;222;REGIO 13;;101X350;7008CA;3;;Mbo2 opleidingen;1;JJ;8;;;;;0000AA;DOETINCHEM;N
