BURGERSERVICENUMMER;ONDERWIJSNUMMER;GEBOORTEDATUM;GESLACHT;ACHTERNAAM;VOORVOEGSEL;VOORNAMEN;POSTCODE_CIJFERS;RMC_REGIO;RMC_REGIO_NAAM;GEMCODE;GEMEENTENAAM;BRIN;BRIN_VOLGNR;BRIN_VEST_NAAM;NIVEAU;ONDERWIJSSOORT;CREBO;CREBO_OMSCHRIJVING;ONDERWIJSAANBIEDER_CODE;ONDERWIJSAANBIEDER_NAAM;ONDERWIJSLOCATIE_CODE;ONDERWIJSLOCATIE_STRAATNAAM;ONDERWIJSLOCATIE_HUISNUMMER;ONDERWIJSLOCATIE_HUISNUMMER_TOEVOEGING;ONDERWIJSLOCATIE_POSTCODE;ONDERWIJSLOCATIE_PLAATSNAAM
123456789;0;20041005;M;AA;;AA;3333;13;Achterhoek;1859;Berkelland;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bol4;25615;Sociaal werker;100A354;Zorg, Welzijn & Sport;101X328;Sportweg;3;;7006GJ;Doetinchem
123456780;0;20060311;V;BB;van;BB;4444;13;Achterhoek;1955;Montferland;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bbl4;25477;Persoonlijk begeleider gehandicaptenzorg;100A354;Zorg, Welzijn & Sport;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
123456771;0;20060126;V;CC;;CC;1515;13;Achterhoek;1955;Montferland;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bbl4;25697;Gespecialiseerd pedagogisch medewerker;100A354;Zorg, Welzijn & Sport;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
123456762;0;20030221;M;DD;van;DD;6661;13;Achterhoek;1509;Oude IJsselstreek;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;examenleerling;25411;Co?rdinator buurt, onderwijs en sport;100A354;Zorg, Welzijn & Sport;101X328;Sportweg;3;;7006GJ;Doetinchem
123456753;0;20051014;M;EE;van;EE;1212;13;Achterhoek;222;Doetinchem;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bol4;25138;Bedrijfsadministrateur;100A689;Economie & Dienstverlening;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
123456744;0;20060608;V;FF;van;FF;0000;13;Achterhoek;1509;Oude IJsselstreek;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bbl4;25697;Gespecialiseerd pedagogisch medewerker;100A354;Zorg, Welzijn & Sport;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
123456735;0;20050708;M;GG;;GG;2828;41;Arnhem;202;Arnhem;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bol4;25414;Co?rdinator sportinstructie, training en coaching;100A354;Zorg, Welzijn & Sport;101X328;Sportweg;3;;7006GJ;Doetinchem
123456726;0;20050106;V;HH;;HH;0000;13;Achterhoek;1586;Oost Gelre;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bol4;25414;Co?rdinator sportinstructie, training en coaching;100A354;Zorg, Welzijn & Sport;101X328;Sportweg;3;;7006GJ;Doetinchem
123456717;0;20051026;M;II;van;II;2929;13;Achterhoek;1876;Bronckhorst;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bol4;25411;Co?rdinator buurt, onderwijs en sport;100A354;Zorg, Welzijn & Sport;101X328;Sportweg;3;;7006GJ;Doetinchem
123456708;0;20060609;V;JJ;van;JJ;0000;13;Achterhoek;1509;Oude IJsselstreek;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bbl4;25655;Mbo- Verpleegkunde;100A354;Zorg, Welzijn & Sport;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
