#BURGERSERVICENUMMER;ONDERWIJSNUMMER;GEBOORTEDATUM;GESLACHT;ACHTERNAAM;VOORVOEGSEL;VOORNAMEN;POSTCODE_CIJFERS;RMC_REGIO;RMC_REGIO_NAAM;GEMCODE;GEMEENTENAAM;BRIN;BRIN_VOLGNR;BRIN_VEST_NAAM;NIVEAU;ONDERWIJSSOORT;CREBO;CREBO_OMSCHRIJVING;ONDERWIJSAANBIEDER_CODE;ONDERWIJSAANBIEDER_NAAM;ONDERWIJSLOCATIE_CODE;ONDERWIJSLOCATIE_STRAATNAAM;ONDERWIJSLOCATIE_HUISNUMMER;ONDERWIJSLOCATIE_HUISNUMMER_TOEVOEGING;ONDERWIJSLOCATIE_POSTCODE;ONDERWIJSLOCATIE_PLAATSNAAM
404258817;404258817;15-08-2002;M;Candelaria;;Jeandreù Nataneal;2692;REGIO 28;;1661;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25251;Business Administration & Control Specialist;101A729;International Hotel and Management School;;Molenstraat;69.0;;2692BE;'S-GRAVENHAGE
548929538;548929538;28-01-2003;V;Oosterhoff;El;Ramzi;2421;REGIO 26;;1671;WADDINXVEEN;27GZ;27GZ;;Mbo1 opleidingen;BBL;25113;Manager/ondernemer horeca;100A187;School voor Entreeopleidingen;;Dagpauwooglaan;107.0;;2421XN;Voorschoten
179142658;179142658;31-01-2003;V;Lakhisaran;;Maryam;2253;REGIO 28;;490;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BBL;25214;Sociaal werker;100A181;School voor Orde & Veiligheid;;Oranjelaan;16.0;;2253BX;LEIDSCHENDAM
717881348;717881348;15-07-2002;V;Toet;;Stefan Ricardo;2548;REGIO 26;;491;MIDDEN-DELFLAND;27GZ;27GZ;;Mbo3 opleidingen;BOL;25267;Mbo- Verpleegkunde;100A187;School voor Zorg en Welzijn Leiden;;Rozenstraat;15.0;;2548EE;'S-GRAVENHAGE
662765573;662765573;21-07-2006;M;Linden;van;Nishani Ishaya;2286;REGIO 28;;490;LEIDSCHENDAM-VOORBURG;27GZ;27GZ;;Mbo3 opleidingen;BOL;25746;Verzorgende-IG;100A179;School voor Gezondheidszorg Den Haag;;Vaillantlaan;130.0;;2286JX;ALPHEN AAN DEN RIJN
107085833;107085833;20-04-2006;M;Velde;;Daniel;2284;REGIO 28;;489;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25258;Business Administration & Control Specialist;100A173;School voor Gezondheidszorg Den Haag;;Nijkampvaart;;;2284CL;DELFT
396066827;396066827;27-03-2005;M;Torun;;Elise;3028;REGIO 26;;1759;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25391;Leidinggevende leisure & hospitality;100A192;Beauty, Hair & Fashion;;Prinses Margrietstraat;57.0;;3028JG;OUDEWATER
697073677;697073677;18-06-2004;V;Etemov;;Dimas;2496;REGIO 28;;1731;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;BOL;25273;Eerste monteur mechatronica;100A188;School voor Retail en Logistiek Delft;;Naaldwijkseweg;19.0;;2496WT;'S-GRAVENHAGE
834338830;834338830;13-08-2004;M;Hout;;Jan;3124;REGIO 28;;1719;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;BOL;25231;Sociaal werker;101A729;Beauty, Hair & Fashion;;Rozenstraat;153.0;;3124SC;RIJSWIJK ZH
442171407;442171407;09-11-2003;M;Slijkoord;;Ahmet;2671;REGIO 28;;479;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25761;Entree;100A198;BAS;;Neherkade;16.0;;2671KM;ZOETERMEER
