#BURGERSERVICENUMMER;ONDERWIJSNUMMER;GEBOORTEDATUM;GESLACHT;ACHTERNAAM;VOORVOEGSEL;VOORNAMEN;POSTCODE_CIJFERS;RMC_REGIO;RMC_REGIO_NAAM;GEMCODE;GEMEENTENAAM;BRIN;BRIN_VOLGNR;BRIN_VEST_NAAM;NIVEAU;ONDERWIJSSOORT;CREBO;CREBO_OMSCHRIJVING;EXAMEN;IND_BEKOSTIGING;ONDERWIJSAANBIEDER_CODE;ONDERWIJSAANBIEDER_NAAM;ONDERWIJSLOCATIE_CODE;ONDERWIJSLOCATIE_STRAATNAAM;ONDERWIJSLOCATIE_HUISNUMMER;ONDERWIJSLOCATIE_HUISNUMMER_TOEVOEGING;ONDERWIJSLOCATIE_POSTCODE;ONDERWIJSLOCATIE_PLAATSNAAM
226349984;226349984;24-09-2000;V;Oberink;El;Johan Ian Ypey;2253;REGIO 28;;1801;DELFT;27GZ;27GZ;;Mbo4 opleidingen;BOL;25581;Vavo Havo Zonder Profiel;;;100A188;VAVO Haaglanden;;De Bonk;23.0;;2253VD;'S-GRAVENHAGE
110440033;110440033;09-06-2004;V;Boer;van;Ricardo Rafael;2544;REGIO 28;;511;'S-GRAVENHAGE;27GZ;27GZ;;HAVO/VWO bovenbouw;BOL;25207;Vavo Havo Nieuw Profiel Cultuur en Maatschappij;;;100A177;School voor Retail en Logistiek Delft;;Nieuwe Tuinen;111.0;;2544ST;
720729832;720729832;28-03-2004;M;Busch;El;Safwan;2525;REGIO 29;;1822;LANSINGERLAND;27GZ;27GZ;;Mbo2 opleidingen;;25680;Vavo Gymnasium Nieuw Profiel Natuur en Gezondheid;;;100A196;School voor Metaal-, Elektro- en installatietechniek;;IJsduikerstraat;271.0;;2525KE;BREDA
206712416;206712416;30-10-2005;V;Graaf;;Marijah;2572;REGIO 29;;475;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25395;Verzorgende-IG;;;100A198;School voor Entreeopleidingen;;Lau Mazirellaan;532.0;;2572XC;'S-GRAVENHAGE
896467102;896467102;22-06-2006;M;Balk;;Aleyna;2632;REGIO 26;;290;ROOSENDAAL;27GZ;27GZ;;Mbo3 opleidingen;BOL;25583;Gezel schilder;;;100A184;School voor Business support;;Abdis Swaneldestraat;427.0;;2632EN;RIJSWIJK ZH
509067940;509067940;18-01-2000;V;Akchich;Ter;Jacob Stefan;2593;REGIO 30;;1851;KAAG EN BRAASSEM;27GZ;27GZ;;Mbo4 opleidingen;BOL;25554;Bedrijfsadministrateur;;;100A176;Beauty, Hair & Fashion;;Bakemaplan;23.0;;2593HD;'S-GRAVENZANDE
764009048;764009048;18-05-2004;M;Vreede;;Boen;2712;REGIO 28;;1721;PIJNACKER-NOOTDORP;27GZ;27GZ;;Mbo4 opleidingen;BOL;25661;Doktersassistent;;;100A181;School voor Gezondheidszorg Den Haag;;Wesselsstraat;122.0;;2712JD;'S-GRAVENHAGE
675272868;675272868;15-02-2006;M;Groenewegen;;Jip;2182;REGIO 28;;1711;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BOL;25184;Musicalperformer;;;101A783;School voor Pedagogische en Sociale beroepen;;Stille Putten;30.0;;2182SC;Zoetermeer
784808252;784808252;23-05-2003;M;Smit;;Sem;2692;REGIO 28;;484;WESTLAND;27GZ;27GZ;;Mbo3 opleidingen;BOL;25700;Allround medewerker IT systems and devices;;;100A175;School voor Zorg en Welzijn Westland;;Loosduinseweg;173.0;;2692GH;'S-GRAVENHAGE
202947946;202947946;02-06-2002;V;Bolhuis;;Hümeyra;2518;REGIO 28;;594;WESTLAND;27GZ;27GZ;;HAVO/VWO bovenbouw;BOL;5235;Allround Assistant Business Services;;;100A181;School voor Retail en Logistiek Delft;;van Lodensteijnstraat;19.0;;2518TG;ZWAMMERDAM
